lessonId,title,displayedFormula,sourceWithinApplication,enginePreset,exampleInputs,expectedOutputs,reviewStatus
14,Absolute Value,a+b\times c=a+(b\times c),core lesson content formula card,calculator.absolute-value,calculator-expression,calculator-result,needs-review
15,Rounding and Precision,error <= half of one unit in the last place,core lesson content formula card,calculator.rounding-precision,calculator-expression,calculator-result,needs-review
15,Rounding and Precision,a+b\times c=a+(b\times c),core lesson content formula card,calculator.rounding-precision,calculator-expression,calculator-result,needs-review
16,Constants Library,C = 2 pi r,core lesson content formula card,calculator.constants-library,calculator-expression,calculator-result,needs-review
16,Constants Library,a+b\times c=a+(b\times c),core lesson content formula card,calculator.constants-library,calculator-expression,calculator-result,needs-review
17,Calculation History,count = number of stored rows,core lesson content formula card,calculator.calculation-history,calculator-expression,calculator-result,needs-review
17,Calculation History,a+b\times c=a+(b\times c),core lesson content formula card,calculator.calculation-history,calculator-expression,calculator-result,needs-review
18,Exact and Decimal Modes,sqrt(2) is exact; 1.414... is approximate,core lesson content formula card,calculator.exact-decimal-modes,calculator-expression,calculator-result,needs-review
18,Exact and Decimal Modes,a+b\times c=a+(b\times c),core lesson content formula card,calculator.exact-decimal-modes,calculator-expression,calculator-result,needs-review
19,Algebra Workspace,A = B iff A-B = 0,core lesson content formula card,algebra.core-model,primary-control,linked-equation|linked-graph,needs-review
19,Algebra Workspace,f(x)=mx+b,core lesson content formula card,algebra.core-model,primary-control,linked-equation|linked-graph,needs-review
20,Variable Explorer,f(c)=f(x) with x=c,core lesson content formula card,algebra.core-model,primary-control,linked-equation|linked-graph,needs-review
20,Variable Explorer,f(x)=mx+b,core lesson content formula card,algebra.core-model,primary-control,linked-equation|linked-graph,needs-review
21,Numeric Sliders,y = ax + b,core lesson content formula card,algebra.core-model,primary-control,linked-equation|linked-graph,needs-review
21,Numeric Sliders,f(x)=mx+b,core lesson content formula card,algebra.core-model,primary-control,linked-equation|linked-graph,needs-review
22,Integer Sliders,next value = current value + k,core lesson content formula card,algebra.core-model,primary-control,linked-equation|linked-graph,needs-review
22,Integer Sliders,f(x)=mx+b,core lesson content formula card,algebra.core-model,primary-control,linked-equation|linked-graph,needs-review
23,Angle Sliders,360 degrees = 2 pi radians,core lesson content formula card,algebra.core-model,primary-control,linked-equation|linked-graph,needs-review
23,Angle Sliders,f(x)=mx+b,core lesson content formula card,algebra.core-model,primary-control,linked-equation|linked-graph,needs-review
24,Animation Controls,new value = old value + step,core lesson content formula card,algebra.core-model,primary-control,linked-equation|linked-graph,needs-review
24,Animation Controls,f(x)=mx+b,core lesson content formula card,algebra.core-model,primary-control,linked-equation|linked-graph,needs-review
25,Dependent and Independent Objects,y = f(x),core lesson content formula card,algebra.core-model,primary-control,linked-equation|linked-graph,needs-review
25,Dependent and Independent Objects,f(x)=mx+b,core lesson content formula card,algebra.core-model,primary-control,linked-equation|linked-graph,needs-review
26,Conditional Visibility,show object if x > c,core lesson content formula card,algebra.core-model,primary-control,linked-equation|linked-graph,needs-review
26,Conditional Visibility,f(x)=mx+b,core lesson content formula card,algebra.core-model,primary-control,linked-equation|linked-graph,needs-review
27,Dynamic Labels,label = name + value,core lesson content formula card,algebra.core-model,primary-control,linked-equation|linked-graph,needs-review
27,Dynamic Labels,f(x)=mx+b,core lesson content formula card,algebra.core-model,primary-control,linked-equation|linked-graph,needs-review
28,Algebraic Input,expression = terms joined by operations,core lesson content formula card,algebra.core-model,primary-control,linked-equation|linked-graph,needs-review
28,Algebraic Input,f(x)=mx+b,core lesson content formula card,algebra.core-model,primary-control,linked-equation|linked-graph,needs-review
29,Object Redefinition,old object -> new definition,core lesson content formula card,algebra.core-model,primary-control,linked-equation|linked-graph,needs-review
29,Object Redefinition,f(x)=mx+b,core lesson content formula card,algebra.core-model,primary-control,linked-equation|linked-graph,needs-review
30,Equation Input,ax+b=c,core lesson content formula card,algebra.core-model,primary-control,linked-equation|linked-graph,needs-review
30,Equation Input,f(x)=mx+b,core lesson content formula card,algebra.core-model,primary-control,linked-equation|linked-graph,needs-review
31,Inequality Input,ax+b<c,core lesson content formula card,algebra.core-model,primary-control,linked-equation|linked-graph,needs-review
31,Inequality Input,f(x)=mx+b,core lesson content formula card,algebra.core-model,primary-control,linked-equation|linked-graph,needs-review
32,Lists,length = number of entries,core lesson content formula card,algebra.core-model,primary-control,linked-equation|linked-graph,needs-review
32,Lists,f(x)=mx+b,core lesson content formula card,algebra.core-model,primary-control,linked-equation|linked-graph,needs-review
33,Matrices,rows x columns,core lesson content formula card,algebra.core-model,primary-control,linked-equation|linked-graph,needs-review
33,Matrices,f(x)=mx+b,core lesson content formula card,algebra.core-model,primary-control,linked-equation|linked-graph,needs-review
34,Sequences,a_n=a_1+(n-1)d,core lesson content formula card,algebra.core-model,primary-control,linked-equation|linked-graph,needs-review
34,Sequences,f(x)=mx+b,core lesson content formula card,algebra.core-model,primary-control,linked-equation|linked-graph,needs-review
35,Piecewise Definitions,f(x)=rule1 if condition1; rule2 if condition2,core lesson content formula card,algebra.core-model,primary-control,linked-equation|linked-graph,needs-review
35,Piecewise Definitions,f(x)=mx+b,core lesson content formula card,algebra.core-model,primary-control,linked-equation|linked-graph,needs-review
36,Boolean Variables,P and Q is true only when P and Q are both true,core lesson content formula card,algebra.core-model,primary-control,linked-equation|linked-graph,needs-review
36,Boolean Variables,f(x)=mx+b,core lesson content formula card,algebra.core-model,primary-control,linked-equation|linked-graph,needs-review
37,Dynamic Text,display = fixed text + live value,core lesson content formula card,algebra.core-model,primary-control,linked-equation|linked-graph,needs-review
37,Dynamic Text,f(x)=mx+b,core lesson content formula card,algebra.core-model,primary-control,linked-equation|linked-graph,needs-review
38,LaTeX Formula Display,\\frac{a}{b},core lesson content formula card,algebra.core-model,primary-control,linked-equation|linked-graph,needs-review
38,LaTeX Formula Display,f(x)=mx+b,core lesson content formula card,algebra.core-model,primary-control,linked-equation|linked-graph,needs-review
57,Natural Numbers,\frac{a}{b}=a\div b,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
57,Natural Numbers,"ab=\gcd(a,b)\cdot\operatorname{lcm}(a,b)",core lesson content formula card,number.core-model,primary-control,number-model,needs-review
58,Whole Numbers,\frac{a}{b}=a\div b,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
58,Whole Numbers,"ab=\gcd(a,b)\cdot\operatorname{lcm}(a,b)",core lesson content formula card,number.core-model,primary-control,number-model,needs-review
59,Integers,\frac{a}{b}=a\div b,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
59,Integers,"ab=\gcd(a,b)\cdot\operatorname{lcm}(a,b)",core lesson content formula card,number.core-model,primary-control,number-model,needs-review
60,Rational Numbers,a/b,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
60,Rational Numbers,\frac{a}{b}=a\div b,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
61,Irrational Numbers,\frac{a}{b}=a\div b,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
61,Irrational Numbers,"ab=\gcd(a,b)\cdot\operatorname{lcm}(a,b)",core lesson content formula card,number.core-model,primary-control,number-model,needs-review
62,Real Numbers,\frac{a}{b}=a\div b,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
62,Real Numbers,"ab=\gcd(a,b)\cdot\operatorname{lcm}(a,b)",core lesson content formula card,number.core-model,primary-control,number-model,needs-review
63,Complex Numbers,z=a+bi,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
63,Complex Numbers,\frac{a}{b}=a\div b,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
64,Place Value,abc = 100a + 10b + c,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
64,Place Value,\frac{a}{b}=a\div b,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
65,Factors,\frac{a}{b}=a\div b,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
65,Factors,"ab=\gcd(a,b)\cdot\operatorname{lcm}(a,b)",core lesson content formula card,number.core-model,primary-control,number-model,needs-review
66,Multiples,\frac{a}{b}=a\div b,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
66,Multiples,"ab=\gcd(a,b)\cdot\operatorname{lcm}(a,b)",core lesson content formula card,number.core-model,primary-control,number-model,needs-review
67,Prime Numbers,\frac{a}{b}=a\div b,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
67,Prime Numbers,"ab=\gcd(a,b)\cdot\operatorname{lcm}(a,b)",core lesson content formula card,number.core-model,primary-control,number-model,needs-review
68,Prime Factorisation,\frac{a}{b}=a\div b,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
68,Prime Factorisation,"ab=\gcd(a,b)\cdot\operatorname{lcm}(a,b)",core lesson content formula card,number.core-model,primary-control,number-model,needs-review
69,HCF / GCD,\frac{a}{b}=a\div b,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
69,HCF / GCD,"ab=\gcd(a,b)\cdot\operatorname{lcm}(a,b)",core lesson content formula card,number.core-model,primary-control,number-model,needs-review
70,LCM,\frac{a}{b}=a\div b,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
70,LCM,"ab=\gcd(a,b)\cdot\operatorname{lcm}(a,b)",core lesson content formula card,number.core-model,primary-control,number-model,needs-review
71,Divisibility Rules,\frac{a}{b}=a\div b,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
71,Divisibility Rules,"ab=\gcd(a,b)\cdot\operatorname{lcm}(a,b)",core lesson content formula card,number.core-model,primary-control,number-model,needs-review
72,Modular Arithmetic,a = qn + r,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
72,Modular Arithmetic,\frac{a}{b}=a\div b,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
73,Base Systems,\frac{a}{b}=a\div b,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
73,Base Systems,"ab=\gcd(a,b)\cdot\operatorname{lcm}(a,b)",core lesson content formula card,number.core-model,primary-control,number-model,needs-review
74,Continued Fractions,\frac{a}{b}=a\div b,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
74,Continued Fractions,"ab=\gcd(a,b)\cdot\operatorname{lcm}(a,b)",core lesson content formula card,number.core-model,primary-control,number-model,needs-review
75,Fraction Models,a/b,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
75,Fraction Models,\frac{a}{b}=a\div b,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
76,Equivalent Fractions,a/b = ka/kb,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
76,Equivalent Fractions,\frac{a}{b}=a\div b,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
77,Comparing Fractions,\frac{a}{b}=a\div b,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
77,Comparing Fractions,"ab=\gcd(a,b)\cdot\operatorname{lcm}(a,b)",core lesson content formula card,number.core-model,primary-control,number-model,needs-review
78,Fraction Operations,\frac{a}{b}=a\div b,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
78,Fraction Operations,"ab=\gcd(a,b)\cdot\operatorname{lcm}(a,b)",core lesson content formula card,number.core-model,primary-control,number-model,needs-review
79,Decimal Place Value,\frac{a}{b}=a\div b,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
79,Decimal Place Value,"ab=\gcd(a,b)\cdot\operatorname{lcm}(a,b)",core lesson content formula card,number.core-model,primary-control,number-model,needs-review
80,Decimal Operations,\frac{a}{b}=a\div b,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
80,Decimal Operations,"ab=\gcd(a,b)\cdot\operatorname{lcm}(a,b)",core lesson content formula card,number.core-model,primary-control,number-model,needs-review
81,Fraction–Decimal Conversion,a/b = a div b,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
81,Fraction–Decimal Conversion,\frac{a}{b}=a\div b,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
82,Recurring Decimals,\frac{a}{b}=a\div b,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
82,Recurring Decimals,"ab=\gcd(a,b)\cdot\operatorname{lcm}(a,b)",core lesson content formula card,number.core-model,primary-control,number-model,needs-review
83,Ratio Models,\frac{a}{b}=a\div b,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
83,Ratio Models,"ab=\gcd(a,b)\cdot\operatorname{lcm}(a,b)",core lesson content formula card,number.core-model,primary-control,number-model,needs-review
84,Proportion,a/b = c/d iff ad = bc,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
84,Proportion,\frac{a}{b}=a\div b,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
85,Direct Proportion,y = kx,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
85,Direct Proportion,\frac{a}{b}=a\div b,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
86,Inverse Proportion,xy = k,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
86,Inverse Proportion,\frac{a}{b}=a\div b,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
87,Unit Rates,\frac{a}{b}=a\div b,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
87,Unit Rates,"ab=\gcd(a,b)\cdot\operatorname{lcm}(a,b)",core lesson content formula card,number.core-model,primary-control,number-model,needs-review
88,Percentages,(p/100) x,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
88,Percentages,\frac{a}{b}=a\div b,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
89,Percentage Change,((new - original)/original) x 100,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
89,Percentage Change,\frac{a}{b}=a\div b,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
90,Compound Change,A = P(1 + r)^n,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
90,Compound Change,\frac{a}{b}=a\div b,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
91,Scale Drawings,\frac{a}{b}=a\div b,core lesson content formula card,number.core-model,primary-control,number-model,needs-review
91,Scale Drawings,"ab=\gcd(a,b)\cdot\operatorname{lcm}(a,b)",core lesson content formula card,number.core-model,primary-control,number-model,needs-review
618,Slider Component,output=f(input),core lesson content formula card,authoring.core-model,primary-control,authoring-preview,needs-review
618,Slider Component,prediction\rightarrow action\rightarrow observation\rightarrow revision,core lesson content formula card,authoring.core-model,primary-control,authoring-preview,needs-review
619,Checkbox,output=f(input),core lesson content formula card,authoring.core-model,primary-control,authoring-preview,needs-review
619,Checkbox,prediction\rightarrow action\rightarrow observation\rightarrow revision,core lesson content formula card,authoring.core-model,primary-control,authoring-preview,needs-review
620,Button,output=f(input),core lesson content formula card,authoring.core-model,primary-control,authoring-preview,needs-review
620,Button,prediction\rightarrow action\rightarrow observation\rightarrow revision,core lesson content formula card,authoring.core-model,primary-control,authoring-preview,needs-review
621,Input Box,output=f(input),core lesson content formula card,authoring.core-model,primary-control,authoring-preview,needs-review
621,Input Box,prediction\rightarrow action\rightarrow observation\rightarrow revision,core lesson content formula card,authoring.core-model,primary-control,authoring-preview,needs-review
622,Drop-Down List,output=f(input),core lesson content formula card,authoring.core-model,primary-control,authoring-preview,needs-review
622,Drop-Down List,prediction\rightarrow action\rightarrow observation\rightarrow revision,core lesson content formula card,authoring.core-model,primary-control,authoring-preview,needs-review
623,Dynamic Text,output=f(input),core lesson content formula card,authoring.core-model,primary-control,authoring-preview,needs-review
623,Dynamic Text,prediction\rightarrow action\rightarrow observation\rightarrow revision,core lesson content formula card,authoring.core-model,primary-control,authoring-preview,needs-review
624,Formula Display,output=f(input),core lesson content formula card,authoring.core-model,primary-control,authoring-preview,needs-review
624,Formula Display,prediction\rightarrow action\rightarrow observation\rightarrow revision,core lesson content formula card,authoring.core-model,primary-control,authoring-preview,needs-review
625,Image Object,output=f(input),core lesson content formula card,authoring.core-model,primary-control,authoring-preview,needs-review
625,Image Object,prediction\rightarrow action\rightarrow observation\rightarrow revision,core lesson content formula card,authoring.core-model,primary-control,authoring-preview,needs-review
626,Audio and Video,output=f(input),core lesson content formula card,authoring.core-model,primary-control,authoring-preview,needs-review
626,Audio and Video,prediction\rightarrow action\rightarrow observation\rightarrow revision,core lesson content formula card,authoring.core-model,primary-control,authoring-preview,needs-review
627,Pen and Highlighter,output=f(input),core lesson content formula card,authoring.core-model,primary-control,authoring-preview,needs-review
627,Pen and Highlighter,prediction\rightarrow action\rightarrow observation\rightarrow revision,core lesson content formula card,authoring.core-model,primary-control,authoring-preview,needs-review
628,Tables,output=f(input),core lesson content formula card,authoring.core-model,primary-control,authoring-preview,needs-review
628,Tables,prediction\rightarrow action\rightarrow observation\rightarrow revision,core lesson content formula card,authoring.core-model,primary-control,authoring-preview,needs-review
629,Multiple Pages,output=f(input),core lesson content formula card,authoring.core-model,primary-control,authoring-preview,needs-review
629,Multiple Pages,prediction\rightarrow action\rightarrow observation\rightarrow revision,core lesson content formula card,authoring.core-model,primary-control,authoring-preview,needs-review
630,Reset Construction,output=f(input),core lesson content formula card,authoring.core-model,primary-control,authoring-preview,needs-review
630,Reset Construction,prediction\rightarrow action\rightarrow observation\rightarrow revision,core lesson content formula card,authoring.core-model,primary-control,authoring-preview,needs-review
631,Undo and Redo,output=f(input),core lesson content formula card,authoring.core-model,primary-control,authoring-preview,needs-review
631,Undo and Redo,prediction\rightarrow action\rightarrow observation\rightarrow revision,core lesson content formula card,authoring.core-model,primary-control,authoring-preview,needs-review
632,Object Locking,output=f(input),core lesson content formula card,authoring.core-model,primary-control,authoring-preview,needs-review
632,Object Locking,prediction\rightarrow action\rightarrow observation\rightarrow revision,core lesson content formula card,authoring.core-model,primary-control,authoring-preview,needs-review
633,Conditional Feedback,output=f(input),core lesson content formula card,authoring.core-model,primary-control,authoring-preview,needs-review
633,Conditional Feedback,prediction\rightarrow action\rightarrow observation\rightarrow revision,core lesson content formula card,authoring.core-model,primary-control,authoring-preview,needs-review
634,Custom Tool Builder,output=f(input),core lesson content formula card,authoring.core-model,primary-control,authoring-preview,needs-review
634,Custom Tool Builder,prediction\rightarrow action\rightarrow observation\rightarrow revision,core lesson content formula card,authoring.core-model,primary-control,authoring-preview,needs-review
635,Command Library,output=f(input),core lesson content formula card,authoring.core-model,primary-control,authoring-preview,needs-review
635,Command Library,prediction\rightarrow action\rightarrow observation\rightarrow revision,core lesson content formula card,authoring.core-model,primary-control,authoring-preview,needs-review
636,Object Scripting,output=f(input),core lesson content formula card,authoring.core-model,primary-control,authoring-preview,needs-review
636,Object Scripting,prediction\rightarrow action\rightarrow observation\rightarrow revision,core lesson content formula card,authoring.core-model,primary-control,authoring-preview,needs-review
637,Randomisation,output=f(input),core lesson content formula card,authoring.core-model,primary-control,authoring-preview,needs-review
637,Randomisation,prediction\rightarrow action\rightarrow observation\rightarrow revision,core lesson content formula card,authoring.core-model,primary-control,authoring-preview,needs-review
638,Automatic Checking,output=f(input),core lesson content formula card,authoring.core-model,primary-control,authoring-preview,needs-review
638,Automatic Checking,prediction\rightarrow action\rightarrow observation\rightarrow revision,core lesson content formula card,authoring.core-model,primary-control,authoring-preview,needs-review
639,Import and Export,output=f(input),core lesson content formula card,authoring.core-model,primary-control,authoring-preview,needs-review
639,Import and Export,prediction\rightarrow action\rightarrow observation\rightarrow revision,core lesson content formula card,authoring.core-model,primary-control,authoring-preview,needs-review
640,Concept Introduction,predict\rightarrow test\rightarrow explain,core lesson content formula card,learning.core-model,primary-control,learning-step,needs-review
640,Concept Introduction,mastery=\frac{correct\ checks}{total\ checks},core lesson content formula card,learning.core-model,primary-control,learning-step,needs-review
641,Visualise,predict\rightarrow test\rightarrow explain,core lesson content formula card,learning.core-model,primary-control,learning-step,needs-review
641,Visualise,mastery=\frac{correct\ checks}{total\ checks},core lesson content formula card,learning.core-model,primary-control,learning-step,needs-review
642,Manipulative Laboratory,predict\rightarrow test\rightarrow explain,core lesson content formula card,learning.core-model,primary-control,learning-step,needs-review
642,Manipulative Laboratory,mastery=\frac{correct\ checks}{total\ checks},core lesson content formula card,learning.core-model,primary-control,learning-step,needs-review
643,Guided Exploration,predict\rightarrow test\rightarrow explain,core lesson content formula card,learning.core-model,primary-control,learning-step,needs-review
643,Guided Exploration,mastery=\frac{correct\ checks}{total\ checks},core lesson content formula card,learning.core-model,primary-control,learning-step,needs-review
644,Predict–Test–Explain,predict\rightarrow test\rightarrow explain,core lesson content formula card,learning.core-model,primary-control,learning-step,needs-review
644,Predict–Test–Explain,mastery=\frac{correct\ checks}{total\ checks},core lesson content formula card,learning.core-model,primary-control,learning-step,needs-review
645,Worked Example,predict\rightarrow test\rightarrow explain,core lesson content formula card,learning.core-model,primary-control,learning-step,needs-review
645,Worked Example,mastery=\frac{correct\ checks}{total\ checks},core lesson content formula card,learning.core-model,primary-control,learning-step,needs-review
646,Step-by-Step Practice,predict\rightarrow test\rightarrow explain,core lesson content formula card,learning.core-model,primary-control,learning-step,needs-review
646,Step-by-Step Practice,mastery=\frac{correct\ checks}{total\ checks},core lesson content formula card,learning.core-model,primary-control,learning-step,needs-review
647,Construction Challenge,predict\rightarrow test\rightarrow explain,core lesson content formula card,learning.core-model,primary-control,learning-step,needs-review
647,Construction Challenge,mastery=\frac{correct\ checks}{total\ checks},core lesson content formula card,learning.core-model,primary-control,learning-step,needs-review
648,Graph Matching,predict\rightarrow test\rightarrow explain,core lesson content formula card,learning.core-model,primary-control,learning-step,needs-review
648,Graph Matching,mastery=\frac{correct\ checks}{total\ checks},core lesson content formula card,learning.core-model,primary-control,learning-step,needs-review
649,Error Diagnosis,predict\rightarrow test\rightarrow explain,core lesson content formula card,learning.core-model,primary-control,learning-step,needs-review
649,Error Diagnosis,mastery=\frac{correct\ checks}{total\ checks},core lesson content formula card,learning.core-model,primary-control,learning-step,needs-review
650,Multiple Representations,predict\rightarrow test\rightarrow explain,core lesson content formula card,learning.core-model,primary-control,learning-step,needs-review
650,Multiple Representations,mastery=\frac{correct\ checks}{total\ checks},core lesson content formula card,learning.core-model,primary-control,learning-step,needs-review
651,Real-World Application,predict\rightarrow test\rightarrow explain,core lesson content formula card,learning.core-model,primary-control,learning-step,needs-review
651,Real-World Application,mastery=\frac{correct\ checks}{total\ checks},core lesson content formula card,learning.core-model,primary-control,learning-step,needs-review
652,Open Investigation,predict\rightarrow test\rightarrow explain,core lesson content formula card,learning.core-model,primary-control,learning-step,needs-review
652,Open Investigation,mastery=\frac{correct\ checks}{total\ checks},core lesson content formula card,learning.core-model,primary-control,learning-step,needs-review
653,Dynamic Question Generator,predict\rightarrow test\rightarrow explain,core lesson content formula card,learning.core-model,primary-control,learning-step,needs-review
653,Dynamic Question Generator,mastery=\frac{correct\ checks}{total\ checks},core lesson content formula card,learning.core-model,primary-control,learning-step,needs-review
654,Mastery Challenge,predict\rightarrow test\rightarrow explain,core lesson content formula card,learning.core-model,primary-control,learning-step,needs-review
654,Mastery Challenge,mastery=\frac{correct\ checks}{total\ checks},core lesson content formula card,learning.core-model,primary-control,learning-step,needs-review
655,Exit Ticket,predict\rightarrow test\rightarrow explain,core lesson content formula card,learning.core-model,primary-control,learning-step,needs-review
655,Exit Ticket,mastery=\frac{correct\ checks}{total\ checks},core lesson content formula card,learning.core-model,primary-control,learning-step,needs-review
656,Revision Summary,predict\rightarrow test\rightarrow explain,core lesson content formula card,learning.core-model,primary-control,learning-step,needs-review
656,Revision Summary,mastery=\frac{correct\ checks}{total\ checks},core lesson content formula card,learning.core-model,primary-control,learning-step,needs-review
657,Drag and Manipulate,new\ size=scale\times original\ size,core lesson content formula card,platform.core-model,primary-control,capability-state,needs-review
657,Drag and Manipulate,control\ state\leftrightarrow visual\ state\leftrightarrow text\ summary,core lesson content formula card,platform.core-model,primary-control,capability-state,needs-review
658,Zoom and Pan,new\ size=scale\times original\ size,core lesson content formula card,platform.core-model,primary-control,capability-state,needs-review
658,Zoom and Pan,control\ state\leftrightarrow visual\ state\leftrightarrow text\ summary,core lesson content formula card,platform.core-model,primary-control,capability-state,needs-review
659,Reset View,new\ size=scale\times original\ size,core lesson content formula card,platform.core-model,primary-control,capability-state,needs-review
659,Reset View,control\ state\leftrightarrow visual\ state\leftrightarrow text\ summary,core lesson content formula card,platform.core-model,primary-control,capability-state,needs-review
660,Undo and Redo,new\ size=scale\times original\ size,core lesson content formula card,platform.core-model,primary-control,capability-state,needs-review
